Le nom commercial ;Quantité en stock;Prix Public;Date derniére sortie;Listes;Classes;Formes
Biofar fer acfolique vit C B1 B2 B6 B12 cp B/20;2;2?156;13/08/2023;SANS TABLEAU;Vitalite intellectuelle concentration;Comprimes Gelules
Biofar potassium magnesium;0;2?183;01/06/2023;SANS TABLEAU;Vitalite intellectuelle concentration;Comprimes Gelules
Biofar zinc vit c cp eff B/20;7;2?000;18/09/2023;SANS TABLEAU;Vitalite intellectuelle concentration;Comprimes Gelules
Correctol cy 10ml ;10;918;22/09/2023;SANS TABLEAU;Vision binoculaire;Collyres
Dolobene gel T/20g;0;0;21/11/2019;SANS TABLEAU;Veinotonique externe Traumatisme sportif et accide;Gel cutane
Madecassol cp B/25;0;0;;SANS TABLEAU;Veinotonique;Comprimes Gelules
Diosmin arrow 600mg cp B/30;0;0;;SANS TABLEAU;Vasoprotecteur Veinotonique;Comprimes Gelules
Diovenor 600mg cp B/30 sans sucre;0;0;;SANS TABLEAU;Vasoprotecteur Veinotonique;Comprimes Gelules
Ginkor fort gel B/30 sans sucre;0;7?117;31/01/2022;SANS TABLEAU;Vasoprotecteur Veinotonique;Comprimes Gelules
Mediveine 600mg cp B/30;0;3?515;01/04/2017;SANS TABLEAU;Vasoprotecteur Veinotonique;Comprimes Gelules
Praxilene 100mg cp B/20  sans sucre;0;4?342;24/04/2020;Liste II;Vasodilatateur peripherique cardiaque;Comprimes Gelules
Praxilene 200mg cp B/20 sans sucre ;0;3?402;28/06/2021;LISTE II;Vasodilatateur peripherique cardiaque;Comprimes Gelules
Risordan 20mg cp B/30;0;3?850;31/12/2021;LISTE II;Vasodilatateur peripherique cardiaque;Comprimes Gelules
Torental LP 400mg cp B/20;0;30;;Liste II;Vasodilatateur peripherique cardiaque;Comprimes Gelules
Tanakan cp B/30;2;5?231;21/09/2023;SANS TABLEAU;Vasodilatateur peripherique;Comprimes Gelules
Tanakan gtte buv Fl/30ml;2;5?130;11/09/2023;SANS TABLEAU;Vasodilatateur peripherique;Gouttes buvables
Vasobral gtte buv FL/50ml sans sucre;0;30;;Liste II;Vasodilatateur peripherique;Gouttes buvables
Dacryoboraline cy;0;0;09/01/2023;SANS TABLEAU;Vasoconstricteur oculaire Decongestif;Collyres
Cyclo 3 creme T/40g;0;3?738;29/03/2022;SANS TABLEAU;Vasculoprotecteur Veinotonique Antihemorroidaire;Pommades cremes
Daflon 375mg cp B/30;0;4?218;01/04/2017;SANS TABLEAU;Vasculoprotecteur Veinotonique Antihemorroidaire;Comprimes Gelules
Daflon 500mg cp B/30;3;4?445;29/08/2023;SANS TABLEAU;Vasculoprotecteur Veinotonique Antihemorroidaire;Comprimes Gelules
Veinamitol sht B/10;0;0;;SANS TABLEAU;Vasculoprotecteur Veinotonique;Sachets Granules poudres orales
Veinobiase cp eff B/30;0;3?520;09/04/2019;SANS TABLEAU;Vasculoprotecteur Veinotonique;Comprimes Gelules
Veinotonyl 75mg gelu B/60;0;0;;SANS TABLEAU;Vasculoprotecteur Veinotonique;Comprimes Gelules
Veliten cp B/30;2;3?966;10/08/2023;SANS TABLEAU;Vasculoprotecteur Veinotonique;Comprimes Gelules
Venosmil 200mg gelu B/20 sans sucre ;2;3?703;22/09/2023;SANS TABLEAU;Vasculoprotecteur Veinotonique;Comprimes Gelules
Venosmil gel T/60 gr;1;2?442;26/07/2023;SANS TABLEAU;Vasculoprotecteur Veinotonique;Gel cutane
Difrarel 100 cp B/20;1;2?973;12/10/2022;SANS TABLEAU;Vasculoprotecteur;Comprimes Gelules
Ginkocer B/10 cp;0;3?770;19/09/2023;SANS TABLEAU;Vaosdilatateur Tonifiant;Comprimes Gelules
Ginkocer B/30 cp;1;3?640;19/07/2023;SANS TABLEAU;Vaosdilatateur Tonifiant;Comprimes Gelules
Rocmaline amp B/20;3;3?403;21/08/2023;SANS TABLEAU;Troubles fonctionnelles deorigine epatique;Ampoules buvables
Sels de rehydration orale sachet B/10;0;0;;SANS TABLEAU;Traitement complementaire de la diarhee;Sachets Granules poudres orales
Deflamol pdre T/30g;0;0;;SANS TABLEAU;Topique cutane protecteur et emollient;Pommades cremes
Homeoplasmine pde T/18g;0;0;;SANS TABLEAU;Topique cutane protecteur et emollient;Pommades cremes
Baoban cp B/24;0;0;;SANS TABLEAU;Tonique sexuel;Comprimes Gelules
Levitra cp B/4;0;40;;LISTE I;Tonique sexuel;Comprimes Gelules
Lovetonic cp B/15;0;0;;SANS TABLEAU;Tonique sexuel;Comprimes Gelules
Manix cp B/20 sans sucre;0;4?507;30/08/2021;SANS TABLEAU;Tonique sexuel;Comprimes Gelules
Maxi Erect 907;0;0;;SANS TABLEAU;Tonique sexuel;Spray solutions externes
Mega Penis cr T/75ml;0;0;;SANS TABLEAU;Tonique sexuel;Pommades cremes
Paradizehom cp B/30 sans sucre ;0;0;;SANS TABLEAU;Tonique sexuel;Comprimes Gelules
Procomil creme T/5g;0;1?910;12/08/2023;SANS TABLEAU;Tonique sexuel;Pommades cremes
Procomil spray FL/15ml;2;6?549;05/09/2023;LISTE II;Tonique sexuel;Spray solutions externes
Sexoforte cp B/30 sans sucre ;0;0;;SANS TABLEAU;Tonique sexuel;Comprimes Gelules
Stamina gelule B/30;2;4?921;09/05/2023;SANS TABLEAU;Tonique sexuel;Comprimes Gelules
Virimax amp  B/10;0;6?064;19/05/2023;SANS TABLEAU;Tonique sexuel;Ampoules buvables
Virimax feminin cp B/15;2;6?156;04/11/2022;SANS TABLEAU;Tonique sexuel;Comprimes Gelules
Virimax masculin gelu B/15;4;4?676;13/07/2023;LISTE II;Tonique sexuel;Comprimes Gelules
Biofar Mg VitB6 cp B/20;16;2?169;16/09/2023;SANS TABLEAU;Supplements mineraux;Comprimes Gelules
Magne B6 cp B/50;17;2?384;21/09/2023;SANS TABLEAU;Supplements mineraux;Comprimes Gelules
Tevavit cp B/30;0;0;;SANS TABLEAU;Supplements en Vit E;Comprimes Gelules
Toco 500 cp B/30;1;2?321;04/02/2023;SANS TABLEAU;Supplements en Vit E;Comprimes Gelules
Toco 500mg cp B/30 sans sucre ;0;0;;SANS TABLEAU;Supplements en Vit E;Comprimes Gelules
Diffuk K cp B/40 sans sucre;0;1?899;28/09/2022;SANS TABLEAU;Supplementation potassique;Comprimes Gelules
Kaleorid LP 600mg cp B/30;0;1?164;04/08/2021;SANS TABLEAU;Supplementation potassique;Comprimes Gelules
Potassium sp FL/125ml;2;2?644;07/09/2023;SANS TABLEAU;Supplementation potassique;Sirops
Nicobion cp B/30;0;0;;SANS TABLEAU;Supplement vitaminique PP;Comprimes Gelules
Alphavit sp FI/120ml;0;2?558;20/02/2023;SANS TABLEAU;Supplement vitaminique;Sirops
Becozyme inj B/12 amp de 2ml;0;3?394;14/09/2023;SANS TABLEAU;Supplement vitaminique;Injectables
Biofar 12vit/12min;23;4?500;22/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Biofar ACE selemenium zinc vit B9 B6 cp B/20;10;2?879;19/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Biofar calcium vit D3 vit C cp B/20;4;4?500;17/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Biofar Multi/ 12 vitamine cp effer B/20 sans sucre;86;2?166;11/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Biofar vitamines B cp effer B/20 sans sucre;5;2?242;24/08/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
CAC 1000cp eff B/10;125;1?772;22/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Calcio BC cp;0;974;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Calcio BC cp;0;974;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Callimon cp eff B/10 sans sucre;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Caplac gelule B/20;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Caplex sp FL/100ml;0;703;16/03/2019;SANS TABLEAU;Supplement vitaminique;Sirops
Dafravit SCHT B/5;0;30;;Liste II;Supplement vitaminique;Sachets Granules Poudres orales
Elevit pronatal cp B/30;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Elevit Vit B9 cp B/30;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Escodyne cpeff  B/10;38;1?764;22/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Eurastesim 320/40 cp ;0;3?545;06/07/2022;LISTE II;Supplement vitaminique;Comprimes Gelules
FEmifer sp 200ml;0;3?166;17/09/2023;SANS TABLEAU;Supplement vitaminique;Sirops
Fixical 500 Vit D3  cp B/60 sans sucre;0;5?624;22/06/2018;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Fortevit sp FL/125ml;0;0;;SANS TABLEAU;Supplement vitaminique;Sirops
Genes  junoir cp B/10 sans sucre;0;3?291;25/08/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Genes vit Grossesse cp cp eff B/12 sans sucre;2;2?812;22/07/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Genes vit Grossesse cp cp eff B/12 sans sucre;3;28?120;11/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Genes vit multi Ad cp B/10sans sucre;3;2?027;22/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Genes vit plus  cp eff B/12 sans sucre;10;2?848;18/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Genes vit plus  cp eff B/12 sans sucre;8;2?848;12/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Gestarelle G cp B/30;13;3?312;11/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Hydrosol Polyvit BON inject 2ml B/10;0;40;22/11/2022;Liste I;Supplement Vitaminique;Injectables
Hydrosol Polyvit labaz gtte Fl/30ml;0;717;01/02/2021;SANS TABLEAU;Supplement vitaminique;Gouttes buvables
Juvamyne  multi vit cp B/30 sans sucre;0;0;03/11/2019;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Pediakid Vit+mineraux sp Fl/125ml;0;0;05/07/2020;SANS TABLEAU;Supplement vitaminique;Sirops
Supradyne cp eff B/10 sans sucre;12;2?998;20/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Supravit gelu B/28 sans sucre;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Uvesterol gtte buvable FL/20ml;0;1?442;17/02/2020;SANS TABLEAU;Supplement vitaminique;Gouttes buvables
Vicaps caps B/20 sans sucre ;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Vicombil cp B/60 sans sucre;63;3?188;13/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Vicombil junior sp fl/100ml;1;5?767;09/09/2023;LISTE II;Supplement vitaminique;Sirops
Vitagro B/30cp;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Vitamin cp eff B /10;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Vitamines +Mineraux creat plaq/10;0;0;25/10/2018;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Vita mul cp B/90;0;0;;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Vitapetine sp FL/125ml;17;3?349;20/09/2023;SANS TABLEAU;Supplement vitaminique;Sirops
Vitascorbol 500 cp cpoq B/24 sans sucre ;10;994;21/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules
Vitavit sp FL/100ml;45;2?347;21/09/2023;LISTE I;Supplement vitaminique;Sirops
